Study,BioProject,Sample,Raw,Trimmed,Aligned,Input Reads,Assigned Reads
Poquita-Du2019,PRJNA435468,SRR7040514,19809725,19445820,7277654,16483116,11347564
Poquita-Du2019,PRJNA435468,SRR7041301,17406018,17135870,7341414,16621127,11495764
Poquita-Du2019,PRJNA435468,SRR7042978,22610220,22230655,10277965,23216462,16204891
Poquita-Du2019,PRJNA435468,SRR7043013,7238891,7100319,2472885,5491587,3969219
Poquita-Du2019,PRJNA435468,SRR7043704,10956480,10772378,4720581,10631315,7472319
Poquita-Du2019,PRJNA435468,SRR7046161,9852680,9700254,3678264,8247616,5823658
Poquita-Du2019,PRJNA435468,SRR7055829,16833578,16525763,6855767,15375371,10921947
Poquita-Du2019,PRJNA435468,SRR7058378,15820281,15593483,6309917,14141571,10117520
Poquita-Du2019,PRJNA435468,SRR7058566,14598645,14283621,4918464,11030239,7794895
Poquita-Du2019,PRJNA435468,SRR7058606,21680542,21345665,9018649,20232223,14356936
Poquita-Du2019,PRJNA435468,SRR7058616,13389995,13180391,5929423,13390262,9362866
Poquita-Du2019,PRJNA435468,SRR7059699,18192284,17833328,6664248,14953394,10632330
Poquita-Du2019,PRJNA435468,SRR7062295,11986275,11709566,3988717,8939148,6385619
Poquita-Du2019,PRJNA435468,SRR7062350,11092958,10882150,4488276,10117871,7100203
Zhou2019,PRJNA401251,SRR6784730,36306952,35449541,16132573,34768777,24628631
Zhou2019,PRJNA401251,SRR6784731,33218877,32481626,9393096,20603377,13840198
Zhou2019,PRJNA401251,SRR6784732,33635789,32904176,19054416,41443756,29286878
Zhou2019,PRJNA401251,SRR6784733,38941120,38124935,19223981,41379538,30089444
Zhou2019,PRJNA401251,SRR6784734,40536014,39524358,18298314,39621705,28235767
Zhou2019,PRJNA401251,SRR6784735,41786953,40871023,17977931,39021264,27585169
Buitrago-Lopez2020,PRJNA551401,SRR11880672,121056948,118741825,83630615,,
ConnellyEAPSI,PRJNA587509,SRR10395130,9878242,9723143,5194488,,
ConnellyEAPSI,PRJNA587509,SRR10395131,18981862,18945412,11652069,,
ConnellyEAPSI,PRJNA587509,SRR10395132,9199578,9141258,5472845,,
ConnellyEAPSI,PRJNA587509,SRR10395133,15668816,15604812,11372443,,
ConnellyEAPSI,PRJNA587509,SRR10395134,16780258,16751731,10634426,,
ConnellyEAPSI,PRJNA587509,SRR10395135,18020168,17871277,13511455,,
ConnellyEAPSI,PRJNA587509,SRR10395136,9178593,8892419,6842358,,
ConnellyEAPSI,PRJNA587509,SRR10395137,15344722,15254622,11700010,,
ConnellyEAPSI,PRJNA587509,SRR10395138,14254282,14193733,11332630,,
ConnellyEAPSI,PRJNA587509,SRR10395139,20366051,20323384,13841544,,
ConnellyEAPSI,PRJNA587509,SRR10395140,16357350,16321135,12515514,,
ConnellyEAPSI,PRJNA587509,SRR10395141,12318282,12283946,7693417,,
ConnellyEAPSI,PRJNA587509,SRR10395142,10971541,10946659,7465979,,
ConnellyEAPSI,PRJNA587509,SRR10395143,8786765,8708522,6455028,,
ConnellyEAPSI,PRJNA587509,SRR10395144,9959447,9809258,7352794,,
ConnellyEAPSI,PRJNA587509,SRR10395145,9900847,7658827,5853638,,
ConnellyEAPSI,PRJNA587509,SRR10395148,8837483,8823033,6899065,,
ConnellyEAPSI,PRJNA587509,SRR10395149,9391494,9351102,7531436,,
ConnellyEAPSI,PRJNA587509,SRR10395150,20428312,20339832,15406764,,
ConnellyEAPSI,PRJNA587509,SRR10395151,17822511,17742038,13469721,,
ConnellyEAPSI,PRJNA587509,SRR10395152,18437673,17973556,12786636,,
ConnellyEAPSI,PRJNA587509,SRR10395154,18493445,18457799,14073538,,
ConnellyEAPSI,PRJNA587509,SRR10395155,16456343,16390286,11755871,,
ConnellyEAPSI,PRJNA587509,SRR10395156,16798558,16712528,12555942,,
ConnellyEAPSI,PRJNA587509,SRR10395157,8838656,8818330,6495578,,
ConnellyEAPSI,PRJNA587509,SRR10395158,12363692,12339189,7009824,,
ConnellyEAPSI,PRJNA587509,SRR10395159,8605733,8465190,5917058,,
ConnellyEAPSI,PRJNA587509,SRR10395160,8813038,8799963,6235495,,
ConnellyEAPSI,PRJNA587509,SRR10395161,9496442,9317987,6805689,,
ConnellyEAPSI,PRJNA587509,SRR10395162,8376361,8316524,6529151,,
ConnellyEAPSI,PRJNA587509,SRR10395163,8342516,8297433,5852448,,
ConnellyEAPSI,PRJNA587509,SRR10395167,11361597,11345796,8968370,,
ConnellyEAPSI,PRJNA587509,SRR10395168,10372574,10269843,7244232,,
ConnellyEAPSI,PRJNA587509,SRR10395169,11033722,10852584,8476178,,
ConnellyEAPSI,PRJNA587509,SRR10395170,15441056,15338616,9320873,,
ConnellyEAPSI,PRJNA587509,SRR10395171,18646988,18609554,12427960,,
ConnellyEAPSI,PRJNA587509,SRR10395172,12877663,12819188,9269367,,
ConnellyEAPSI,PRJNA587509,SRR10395173,20399254,20316159,13519805,,
ConnellyEAPSI,PRJNA587509,SRR10395174,16284291,16215992,10495580,,
ConnellyEAPSI,PRJNA587509,SRR10395176,9776438,9551871,6484854,,
ConnellyEAPSI,PRJNA587509,SRR10395177,10511804,10432577,6903827,,
ConnellyEAPSI,PRJNA587509,SRR10395178,8980206,8951303,4831575,,
ConnellyEAPSI,PRJNA587509,SRR10395179,10474022,10419147,8415237,,
ConnellyEAPSI,PRJNA587509,SRR10395180,10602367,10578951,6963795,,
ConnellyEAPSI,PRJNA587509,SRR10395181,20024561,19973485,11133677,,
ConnellyEAPSI,PRJNA587509,SRR10395185,12434475,12322138,9129076,,
ConnellyEAPSI,PRJNA587509,SRR10395186,9405980,9390990,5933030,,
ConnellyEAPSI,PRJNA587509,SRR10395187,12245939,11831857,9061827,,
ConnellyEAPSI,PRJNA587509,SRR10395188,10496100,10472754,6654964,,
ConnellyEAPSI,PRJNA587509,SRR10395189,16512815,16481147,9632615,,
ConnellyEAPSI,PRJNA587509,SRR10395190,18562124,18342063,11540256,,
ConnellyEAPSI,PRJNA587509,SRR10395191,18833722,18799781,12631023,,
ConnellyEAPSI,PRJNA587509,SRR10395192,17544535,17433807,11216772,,
ConnellyEAPSI,PRJNA587509,SRR10395193,16436451,16393549,12137831,,
ConnellyEAPSI,PRJNA587509,SRR10395194,18960801,18912247,13482726,,
ConnellyEAPSI,PRJNA587509,SRR10395195,9008039,8914384,6496848,,
ConnellyEAPSI,PRJNA587509,SRR10395196,8240977,7839487,5236214,,
ConnellyEAPSI,PRJNA587509,SRR10395197,9526623,9506065,7099883,,
ConnellyEAPSI,PRJNA587509,SRR10395198,9713826,9673324,6715648,,
Chuang-Mitarai2020,PRJNA595781,SRR10696823,39501494,36280357,27646873,,
Chuang-Mitarai2020,PRJNA595781,SRR10708231,35979485,33429325,24352238,,
Chuang-Mitarai2020,PRJNA595781,SRR10708230,39135080,36865092,18995153,,
Chuang-Mitarai2020,PRJNA595781,SRR10708229,39035838,36376859,17906148,,
Chuang-Mitarai2020,PRJNA595781,SRR10708228,47338578,43868906,22288104,,
Chuang-Mitarai2020,PRJNA595781,SRR10708227,38157657,36087493,18444716,,
Chuang-Mitarai2020,PRJNA595781,SRR10708226,39003030,36618119,17922673,,
Chuang-Mitarai2020,PRJNA595781,SRR10708225,46784630,43519637,28033633,,
Chuang-Mitarai2020,PRJNA595781,SRR10708188,47567568,45041400,20119438,,
Chuang-Mitarai2020,PRJNA595781,SRR10708187,48168039,45496731,17411045,,
Chuang-Mitarai2020,PRJNA595781,SRR10708186,48429609,45527171,19459632,,
Chuang-Mitarai2020,PRJNA595781,SRR10708185,48429609,22836359,7817157,,
Chuang-Mitarai2020,PRJNA595781,SRR10708184,49189824,46264226,17175397,,
Chuang-Mitarai2020,PRJNA595781,SRR10708183,42563431,40153160,16726336,,
Chuang-Mitarai2020,PRJNA595781,SRR10708182,46067229,43237880,24559703,,
Chuang-Mitarai2020,PRJNA595781,SRR10696829,45714907,42900974,23534974,,
Chuang-Mitarai2020,PRJNA595781,SRR10696827,45797406,42682430,20669037,,
Chuang-Mitarai2020,PRJNA595781,SRR10696828,40944618,38572780,18530690,,
Chuang-Mitarai2020,PRJNA595781,SRR10696826,22666421,20498883,12870996,,
Chuang-Mitarai2020,PRJNA595781,SRR10696825,50493369,47658853,28988508,,
Chuang-Mitarai2020,PRJNA595781,SRR10696824,48327878,45712360,25184471,,
Li2020,PRJNA559028,SRR9963822,22095345,21975862,11260826,,
Li2020,PRJNA559028,SRR9963823,22211208,22095119,11378081,,
Li2020,PRJNA559028,SRR9963824,22247307,22147643,9423573,,
Li2020,PRJNA559028,SRR9963825,22560614,22481412,9266272,,
Li2020,PRJNA559028,SRR9963826,22052230,21962265,7996511,,
Li2020,PRJNA559028,SRR9963827,22182827,22098954,9874916,,
Li2020,PRJNA559028,SRR9963828,22402923,22298863,8142104,,
Li2020,PRJNA559028,SRR9963829,22628874,22525446,8081144,,
Li2020,PRJNA559028,SRR9963830,22296230,22221974,4616778,,
Li2020,PRJNA559028,SRR9963831,22163431,22091572,7349292,,
Li2020,PRJNA559028,SRR9963832,22200664,22118963,8659957,,
Li2020,PRJNA559028,SRR9963833,22332362,22263211,5182306,,
Becker2021,PRJNA744403,SRR15101688,23396439,22363712,17100842,,
Becker2021,PRJNA744403,SRR15101689,24990687,23446795,17492153,,
Becker2021,PRJNA744403,SRR15101690,23267238,22068855,16237338,,
Becker2021,PRJNA744403,SRR15101691,29417106,28033889,21113281,,
Becker2021,PRJNA744403,SRR15101692,22578178,21448902,16113802,,
Becker2021,PRJNA744403,SRR15101693,20905338,19901962,14148048,,
Becker2021,PRJNA744403,SRR15101694,22990550,21993072,16417582,,
Becker2021,PRJNA744403,SRR15101695,16484060,15587639,10786559,,
Becker2021,PRJNA744403,SRR15101696,24030431,22872356,17071252,,
Becker2021,PRJNA744403,SRR15101697,24846067,23657196,18239249,,
Becker2021,PRJNA744403,SRR15101699,22733345,21780303,16326218,,
Becker2021,PRJNA744403,SRR15101700,25158606,23773176,17963701,,
Becker2021,PRJNA744403,SRR15101701,29523059,28294289,21309206,,
Becker2021,PRJNA744403,SRR15101702,23796710,22368655,15383356,,
Becker2021,PRJNA744403,SRR15101703,22630044,21411451,15657380,,
Becker2021,PRJNA744403,SRR15101704,24455094,23394491,18066217,,
Becker2021,PRJNA744403,SRR15101705,27805087,26640962,20254665,,
